time_s,g5_roll,ahrs_roll,gps_turn_rate_bank_deg,g5_slip_raw,mag_turn_rate_bank_deg,yaw_gyro_turn_rate_bank_deg,fused_turn_rate_bank_deg,accel_roll_deg,roll_correction_target_deg,magnetic_roll_deg,magnetic_roll_innovation_deg,magnetic_roll_disagreement_deg,magnetic_roll_valid,error
600.080674,-0.010000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.010000
600.282478,0.060000,0.351285,-0.002324,nan,0.000000,1.582263,-0.002324,13.420470,-0.002324,13.196527,12.600482,0.000000,0,0.291285
600.481251,0.220000,1.609482,0.032018,nan,0.000000,1.629177,0.032018,13.310661,0.032018,11.952494,10.343012,0.000000,1,1.389482
600.680387,0.300000,1.081376,0.085358,nan,0.000000,1.390452,4.716497,11.577847,4.716497,12.617014,11.535638,0.000000,1,0.781376
600.881528,0.310000,0.845992,0.173545,nan,0.000000,1.220291,0.173545,8.264778,0.173545,12.604557,11.758565,0.000000,1,0.535992
601.082559,0.310000,0.683661,0.211318,nan,0.000000,0.781007,2.992367,6.952622,2.992367,14.440948,13.678968,0.000000,0,0.373661
601.280394,0.060000,1.296854,0.087546,nan,0.000000,-0.224933,1.439198,3.379129,1.439198,12.846075,11.549221,0.000000,1,1.236854
601.484480,-0.080000,1.527215,-0.028075,nan,0.000000,-0.027636,0.638979,1.667635,0.638979,12.965739,11.605978,0.000000,0,1.607215
601.683483,0.010000,2.503583,-0.027999,nan,0.000000,-0.370888,0.593240,1.553098,0.593240,12.965739,11.605978,0.000000,0,2.493583
601.886515,0.030000,2.878408,-0.017848,nan,0.000000,-0.527322,-0.017848,-0.676060,-0.017848,12.965739,11.605978,0.000000,0,2.848408
602.083771,0.020000,2.044487,0.018224,nan,0.000000,-1.562392,0.018224,1.134629,0.018224,12.965739,11.605978,0.000000,0,2.024487
602.280383,-0.090000,2.143882,0.098226,nan,0.000000,-0.517524,0.577564,1.394767,0.577564,12.965739,11.605978,0.000000,0,2.233882
602.485648,-0.120000,2.147232,-0.017660,nan,0.000000,-1.068068,-0.017660,1.394767,-0.017660,12.965739,11.605978,0.000000,0,2.267231
602.681236,-0.350000,1.601104,0.226638,nan,0.000000,-0.790710,0.226638,1.001320,0.226638,13.798499,11.472395,0.000000,0,1.951105
602.882573,-0.820000,1.186080,-0.016919,nan,0.000000,0.353107,-0.498120,-1.203003,-0.498120,12.044998,10.645196,0.000000,0,2.006080
603.085650,-1.220000,1.174399,-0.012833,nan,0.000000,0.482469,0.522597,1.338576,0.522597,12.044998,10.645196,0.000000,0,2.394399
603.280391,-1.590000,1.735076,-0.509353,nan,0.000000,1.845429,-0.290938,1.917945,-0.290938,12.044998,10.645196,0.000000,0,3.325076
603.480485,-1.680000,1.550224,-0.509353,nan,0.000000,2.259746,-0.509353,-5.273078,-0.509353,10.648802,9.275434,0.000000,0,3.230224
603.680411,-1.890000,0.288516,-0.635412,nan,0.000000,2.694335,-0.635412,-4.489809,-0.635412,10.197830,9.606454,0.000000,0,2.178516
603.884650,-2.000000,-0.318732,-0.712121,nan,0.000000,2.978648,-0.712121,-4.949673,-0.712121,10.197830,9.606454,0.000000,0,1.681268
604.080656,-1.950000,-0.908689,-0.723154,nan,0.000000,0.902866,-0.723154,-9.301348,-0.723154,12.186312,12.930737,0.000000,0,1.041311
604.295070,-2.020000,-1.815453,-0.802759,nan,0.000000,-0.479731,-0.653176,-4.414530,-0.653176,12.186312,12.930737,0.000000,0,0.204547
604.484772,-2.380000,-2.368479,-0.802759,nan,0.000000,-1.321027,-2.310979,-3.770550,-2.310979,12.186312,12.930737,0.000000,0,0.011522
604.680478,-2.400000,-2.665106,-1.159556,nan,0.000000,-2.490231,-0.926787,-0.071303,-0.926787,10.856602,13.521708,0.000000,0,-0.265106
604.886512,-2.120000,-2.816568,-1.287786,nan,0.000000,-2.816690,-0.992345,0.738602,-0.992345,9.690577,12.507145,0.000000,0,-0.696568
605.087505,-1.710000,-2.963616,-1.524801,nan,0.000000,-1.789173,-1.463229,-1.392270,-1.463229,9.247925,12.106596,0.000000,0,-1.253616
605.364206,-1.220000,-2.986859,-1.483149,nan,0.000000,-1.931965,-1.592562,-3.141236,-1.592562,9.247925,12.106596,0.000000,0,-1.766859
