time_s,g5_roll,ahrs_roll,gps_turn_rate_bank_deg,g5_slip_raw,mag_turn_rate_bank_deg,yaw_gyro_turn_rate_bank_deg,fused_turn_rate_bank_deg,accel_roll_deg,roll_correction_target_deg,magnetic_roll_deg,magnetic_roll_innovation_deg,magnetic_roll_disagreement_deg,magnetic_roll_valid,error
408.281177,-0.990000,0.000000,0.000000,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.990000
408.478116,-1.110000,0.151225,-0.157678,nan,0.287935,0.240207,-0.157678,11.739735,-0.157678,17.169710,17.018486,0.000000,1,1.261225
408.683517,-1.170000,1.173268,-0.216738,nan,0.252831,0.726440,3.060461,8.192998,3.060461,18.112661,16.939394,0.000000,1,2.343268
408.881506,-1.330000,1.035359,-0.151994,nan,0.221601,0.504263,-0.151994,4.592007,-0.151994,17.497110,16.461752,0.000000,1,2.365359
409.078796,-1.370000,1.421351,-0.140810,nan,0.193738,-0.372298,1.522871,4.469287,1.522871,15.998465,14.577114,0.000000,1,2.791351
409.278195,-1.190000,2.271071,-0.109265,nan,0.168260,-2.248022,-0.534268,-1.062508,-0.534268,15.846321,13.575250,0.000000,1,3.461071
409.478781,-1.020000,2.692246,-0.273895,nan,0.147948,-1.102081,-0.273895,-3.778271,-0.273895,17.578129,14.885882,0.000000,1,3.712246
409.679502,-0.890000,2.163941,-0.153017,nan,0.129925,-2.525831,-1.415759,-3.156855,-1.415759,15.450923,13.286982,0.000000,1,3.053941
409.887651,-0.800000,2.555552,-0.238358,nan,0.112276,-2.422623,-2.617060,-5.946755,-2.617060,19.551510,16.995958,0.000000,1,3.355552
410.082403,-0.710000,1.858377,-0.171926,nan,0.098240,-2.355370,-2.841506,-6.673950,-2.841506,16.473557,14.615179,0.000000,1,2.568377
410.283635,-0.560000,1.401289,-0.221051,nan,0.086181,-3.125809,-0.221051,-5.187542,-0.221051,17.810446,16.409157,0.000000,1,1.961289
410.479498,-0.410000,1.096550,-0.122765,nan,0.079266,-2.798441,-3.209505,-7.716850,-3.209505,17.399712,16.231766,0.000000,0,1.506550
410.679752,-0.370000,0.721627,-0.163113,nan,0.068571,-2.600279,-0.163113,0.222941,-0.163113,15.572541,14.532115,0.000000,0,1.091627
410.881480,-0.500000,1.720961,-0.161660,nan,0.057923,-0.971681,0.252931,1.036477,0.252931,16.894897,15.173936,0.000000,1,2.220961
411.079331,-0.480000,1.204971,-0.032478,nan,0.052484,-0.275389,-0.064181,-0.101148,-0.064181,17.590776,16.385805,0.000000,1,1.684971
411.278502,-0.330000,0.675418,0.116668,nan,0.049296,0.138814,0.116668,-2.905772,0.116668,19.305668,18.222229,0.000000,0,1.005418
